,0
2004-01-05,100396.66500000001
2004-01-06,101124.33
2004-01-07,101033.815
2004-01-08,101820.79999999999
2004-01-09,101460.76
2004-01-10,94381.515
2004-01-11,87035.64
2004-01-12,100272.69
2004-01-13,101787.1
2004-01-14,101334.075
2004-01-15,101987.5
2004-01-16,101502.285
2004-01-17,94289.04000000001
2004-01-18,87136.81
2004-01-19,97469.76499999998
2004-01-20,94968.11499999999
2004-01-21,85638.955
2004-01-22,76556.04999999999
2004-01-23,75895.815
2004-01-24,78792.125
2004-01-25,75798.945
2004-01-26,90036.065
2004-01-27,93724.525
2004-01-28,95944.9
2004-01-29,94998.945
2004-01-30,96029.37000000001
2004-01-31,91356.72
2004-02-01,84310.285
2004-02-02,84865.51000000001
2004-02-03,99420.57500000001
2004-02-04,101326.16
2004-02-05,102101.60500000001
2004-02-06,101113.73999999999
2004-02-07,93371.705
2004-02-08,86815.545
2004-02-09,100472.73499999999
2004-02-10,101894.81
2004-02-11,102528.565
2004-02-12,101735.23499999999
2004-02-13,102127.65
2004-02-14,94092.935
2004-02-15,87182.53
2004-02-16,100586.21
2004-02-17,101516.32999999999
2004-02-18,101381.98999999999
2004-02-19,101382.44
2004-02-20,101447.975
2004-02-21,94203.295
2004-02-22,87325.275
2004-02-23,100926.89499999999
2004-02-24,101928.215
2004-02-25,102401.69
2004-02-26,101928.775
2004-02-27,101091.93000000001
2004-02-28,93786.115
2004-02-29,88461.485
2004-03-01,102821.605
2004-03-02,103656.58
2004-03-03,104060.43000000001
2004-03-04,102694.095
2004-03-05,102339.595
2004-03-06,94481.275
2004-03-07,87491.81
2004-03-08,99396.27
2004-03-09,98645.66500000001
2004-03-10,100183.51999999999
2004-03-11,98706.61499999999
2004-03-12,99694.2
2004-03-13,93034.865
2004-03-14,86532.37
2004-03-15,99698.23
2004-03-16,100635.66
2004-03-17,100952.73999999999
2004-03-18,102764.245
2004-03-19,103682.7
2004-03-20,94632.325
2004-03-21,88456.525
2004-03-22,102809.405
2004-03-23,103671.17499999999
2004-03-24,103908.475
2004-03-25,103711.54
2004-03-26,104056.38999999998
2004-03-27,95650.20999999999
2004-03-28,89854.76
2004-03-29,104837.45
2004-03-30,106081.995
2004-03-31,106531.035
2004-04-01,106167.285
2004-04-02,104927.535
2004-04-03,97166.1
2004-04-04,89019.42
2004-04-05,101256.16
2004-04-06,104224.585
2004-04-07,105583.505
2004-04-08,104899.45500000002
2004-04-09,92393.315
2004-04-10,96673.7
2004-04-11,90807.03
2004-04-12,106077.86499999999
2004-04-13,109088.79
2004-04-14,110133.285
2004-04-15,109550.125
2004-04-16,109857.73500000002
2004-04-17,101919.955
2004-04-18,95007.93
2004-04-19,108614.44
2004-04-20,109543.145
2004-04-21,109114.225
2004-04-22,108495.39
2004-04-23,106838.505
2004-04-24,96230.43
2004-04-25,90793.375
2004-04-26,104721.06
2004-04-27,106463.05
2004-04-28,106660.79999999999
2004-04-29,105159.555
2004-04-30,103626.38
2004-05-01,90589.755
2004-05-02,90079.52
2004-05-03,103714.07500000001
2004-05-04,106517.88
2004-05-05,103942.105
2004-05-06,102646.435
2004-05-07,102247.665
2004-05-08,95283.15999999999
2004-05-09,91512.86499999999
2004-05-10,108808.03
2004-05-11,109873.82500000001
2004-05-12,106866.13999999998
2004-05-13,108449.28
2004-05-14,108585.155
2004-05-15,101229.44
2004-05-16,93924.38500000001
2004-05-17,109725.96500000001
2004-05-18,110406.535
2004-05-19,110057.66
2004-05-20,110985.58499999999
2004-05-21,111105.58499999999
2004-05-22,101863.08499999999
2004-05-23,95226.69
2004-05-24,106288.685
2004-05-25,106684.67500000002
2004-05-26,105557.86499999999
2004-05-27,104538.195
2004-05-28,104430.55
2004-05-29,96043.06
2004-05-30,89206.36499999999
2004-05-31,102785.32
2004-06-01,104233.58
2004-06-02,89626.955
2004-06-03,103833.30500000001
2004-06-04,104694.16
2004-06-05,95990.9
2004-06-06,89604.905
2004-06-07,103825.925
2004-06-08,106160.65
2004-06-09,104425.25
2004-06-10,104633.15
2004-06-11,106408.33
2004-06-12,100160.44
2004-06-13,94429.89
2004-06-14,108825.51000000001
2004-06-15,110075.58
2004-06-16,109967.8
2004-06-17,109966.26000000001
2004-06-18,108502.53
2004-06-19,99729.38
2004-06-20,93147.23999999999
2004-06-21,108032.75
2004-06-22,109344.39
